INDIVIDUALS	STRATA
ARIS-15_030	NOR
ARIS-15_031	NOR
ARIS-15_032	NOR
ARIS-15_033	NOR
ARIS-15_034	NOR
ARIS-15_035	NOR
ARIS-15_036	NOR
ARIS-15_037	NOR
ARIS-15_038	NOR
ARIS-15_039	NOR
ARIS-15_040	NOR
ARIS-15_041	NOR
ARIS-15_042	NOR
ARIS-15_043	NOR
ARIS-15_044	NOR
ARIS-15_045	NOR
ARIS-15_047	NOR
ARIS-15_048	NOR
ARIS-15_049	NOR
ARIS-15_050	NOR
ARIS-15_051	NOR
ARIS-15_052	NOR
ARIS-15_053	NOR
ARIS-15_054	NOR
ARIS-15_055	NOR
BARR-15_001	SOU
BARR-15_002	SOU
BARR-15_003	SOU
BARR-15_004	SOU
BARR-15_005	SOU
BARR-15_006	SOU
BARR-15_007	SOU
BARR-15_008	SOU
BARR-15_009	SOU
BARR-15_010	SOU
BARR-15_011	SOU
BARR-15_012	SOU
BARR-15_013	SOU
BARR-15_014	SOU
BARR-15_015	SOU
BARR-15_016	SOU
BARR-15_017	SOU
BARR-15_018	SOU
BARR-15_019	SOU
BARR-15_020	SOU
BARR-15_021	SOU
BARR-15_022	SOU
BARR-15_023	SOU
BARR-15_024	SOU
BARR-15_025	SOU
BARR-15_026	SOU
BARR-15_027	SOU
BARR-15_028	SOU
BARR-15_029	SOU
BARR-15_030	SOU
BARR-15_031	SOU
BARR-15_032	SOU
BARR-15_033	SOU
BARR-15_034	SOU
BARR-15_035	SOU
BARR-15_036	SOU
BARR-15_037	SOU
BARR-15_038	SOU
BARR-15_039	SOU
BARR-15_040	SOU
BARR-15_041	SOU
BARR-15_042	SOU
BARR-15_043	SOU
BARR-15_044	SOU
BARR-15_045	SOU
BARR-15_046	SOU
BARR-15_047	SOU
BARR-15_048	SOU
BARR-15_049	SOU
BARR-15_050	SOU
BFUN-15_001	SOU
BFUN-15_002	SOU
BFUN-15_003	SOU
BFUN-15_004	SOU
BFUN-15_005	SOU
BFUN-15_006	SOU
BFUN-15_007	SOU
BFUN-15_008	SOU
BFUN-15_009	SOU
BFUN-15_010	SOU
BFUN-15_011	SOU
BFUN-15_012	SOU
BFUN-15_013	SOU
BFUN-15_014	SOU
BFUN-15_015	SOU
BFUN-15_016	SOU
BFUN-15_017	SOU
BFUN-15_018	SOU
BFUN-15_019	SOU
BFUN-15_020	SOU
BFUN-15_021	SOU
BFUN-15_022	SOU
BFUN-15_023	SOU
BFUN-15_024	SOU
BFUN-15_025	SOU
BFUN-15_026	SOU
BFUN-15_027	SOU
BFUN-15_028	SOU
BFUN-15_029	SOU
BFUN-15_030	SOU
BFUN-15_031	SOU
BFUN-15_032	SOU
BFUN-15_033	SOU
BFUN-15_034	SOU
BFUN-15_036	SOU
BFUN-15_037	SOU
BFUN-15_038	SOU
BFUN-15_039	SOU
BFUN-15_040	SOU
BFUN-15_041	SOU
BFUN-15_042	SOU
BFUN-15_044	SOU
BFUN-15_045	SOU
BFUN-15_046	SOU
BFUN-15_047	SOU
BFUN-15_048	SOU
BFUN-15_049	SOU
BFUN-15_050	SOU
BFUN-15_051	SOU
BFUN-15_052	SOU
BFUN-15_053	SOU
BFUN-15_054	SOU
BFUN-15_056	SOU
BFUN-15_057	SOU
BFUN-16_003	SOU
BFUN-16_005	SOU
BFUN-16_006	SOU
BFUN-16_007	SOU
BFUN-16_008	SOU
BFUN-16_009	SOU
BFUN-16_011	SOU
BFUN-16_012	SOU
BFUN-16_013	SOU
BFUN-16_016	SOU
BFUN-16_018	SOU
BFUN-16_020	SOU
BFUN-16_022	SOU
BFUN-16_025	SOU
BFUN-16_028	SOU
BFUN-16_035	SOU
BFUN-16_036	SOU
BFUN-16_038	SOU
BFUN-16_040	SOU
BFUN-16_043	SOU
BFUN-16_044	SOU
BFUN-16_046	SOU
BFUN-16_052	SOU
BIGB-12_001	NOR
BIGB-12_002	NOR
BIGB-12_003	NOR
BIGB-12_004	NOR
BIGB-12_005	NOR
BIGB-12_006	NOR
BIGB-12_007	NOR
BIGB-12_008	NOR
BIGB-12_009	NOR
BIGB-12_010	NOR
BIGB-12_011	NOR
BIGB-12_012	NOR
BIGB-12_013	NOR
BIGB-12_014	NOR
BIGB-12_015	NOR
BIGB-12_016	NOR
BIGB-12_017	NOR
BIGB-12_018	NOR
BIGB-12_019	NOR
BIGB-12_021	NOR
BIGB-12_022	NOR
BIGB-12_023	NOR
BIGB-12_024	NOR
BIGB-12_025	NOR
BIGB-12_026	NOR
BIGB-12_027	NOR
BIGB-12_028	NOR
BIGB-12_029	NOR
BIGB-12_031	NOR
BIGB-12_032	NOR
BIGB-12_034	NOR
BIGB-12_035	NOR
BIGB-12_037	NOR
BIGB-12_038	NOR
BIGB-12_039	NOR
BIGB-12_040	NOR
BIGB-12_042	NOR
BIGB-12_043	NOR
BIGB-12_045	NOR
BIGB-12_046	NOR
BIGB-12_047	NOR
BIGB-12_048	NOR
BIGB-12_049	NOR
BIGB-15_001	NOR
BIGB-15_002	NOR
BIGB-15_003	NOR
BIGB-15_004	NOR
BIGB-15_005	NOR
BIGB-15_006	NOR
BIGB-15_007	NOR
BIGB-15_008	NOR
BIGB-15_009	NOR
BIGB-15_010	NOR
BIGB-15_011	NOR
BIGB-15_012	NOR
BIGB-15_013	NOR
BIGB-15_014	NOR
BIGB-15_015	NOR
BIGB-15_016	NOR
BIGB-15_017	NOR
BIGB-15_018	NOR
BIGB-15_019	NOR
BIGB-15_020	NOR
BIGB-15_022	NOR
BIGB-15_023	NOR
BIGB-15_024	NOR
BIGB-15_025	NOR
BIGB-15_026	NOR
BIGB-15_027	NOR
BIGB-15_028	NOR
BIGB-15_029	NOR
BIGB-15_030	NOR
BIGB-15_031	NOR
BIGB-15_033	NOR
BIGB-15_034	NOR
BIGB-15_035	NOR
BIGB-15_036	NOR
BIGB-15_037	NOR
BIGB-15_038	NOR
BIGB-15_039	NOR
BIGB-15_040	NOR
BIGB-15_041	NOR
BIGB-15_042	NOR
BIGB-15_043	NOR
BIGB-15_044	NOR
BIGB-15_046	NOR
BIGB-15_047	NOR
BIGB-15_048	NOR
BIGB-15_049	NOR
BIGB-15_050	NOR
BIGB-15_051	NOR
BIGB-15_052	NOR
BONA-15_001	NOR
BONA-15_002	NOR
BONA-15_003	NOR
BONA-15_004	NOR
BONA-15_005	NOR
BONA-15_006	NOR
BONA-15_007	NOR
BONA-15_008	NOR
BONA-15_009	NOR
BONA-15_010	NOR
BONA-15_011	NOR
BONA-15_012	NOR
BONA-15_013	NOR
BONA-15_014	NOR
BONA-15_016	NOR
BONA-15_017	NOR
BONA-15_018	NOR
BONA-15_019	NOR
BONA-15_020	NOR
BONA-15_021	NOR
BONA-15_022	NOR
BONA-15_023	NOR
BONA-15_024	NOR
BONA-15_025	NOR
BONA-15_026	NOR
BONA-15_027	NOR
BONA-15_028	NOR
BONA-15_029	NOR
BONA-15_030	NOR
BONA-15_031	NOR
BONA-15_032	NOR
BONA-15_033	NOR
BONA-15_034	NOR
BONA-15_035	NOR
BONA-15_036	NOR
BONA-15_037	NOR
BONA-15_038	NOR
BONA-15_039	NOR
BONA-15_041	NOR
BONA-15_042	NOR
BONA-15_043	NOR
BONA-15_045	NOR
BONA-15_046	NOR
BONA-15_047	NOR
BONA-15_048	NOR
BONA-15_049	NOR
BONA-15_050	NOR
BONA-15_051	NOR
BONA-15_052	NOR
BONA-15_053	NOR
BROW-15_001	SOU
BROW-15_002	SOU
BROW-15_003	SOU
BROW-15_004	SOU
BROW-15_006	SOU
BROW-15_007	SOU
BROW-15_008	SOU
BROW-15_009	SOU
BROW-15_010	SOU
BROW-15_011	SOU
BROW-15_012	SOU
BROW-15_013	SOU
BROW-15_014	SOU
BROW-15_015	SOU
BROW-15_016	SOU
BROW-15_017	SOU
BROW-15_018	SOU
BROW-15_019	SOU
BROW-15_020	SOU
BROW-15_021	SOU
BROW-15_022	SOU
BROW-15_023	SOU
BROW-15_024	SOU
BROW-15_025	SOU
BROW-15_026	SOU
BROW-15_027	SOU
BROW-15_028	SOU
BROW-15_029	SOU
BROW-15_030	SOU
BROW-15_031	SOU
BROW-15_032	SOU
BROW-15_033	SOU
BROW-15_034	SOU
BROW-15_035	SOU
BROW-15_036	SOU
BROW-15_037	SOU
BROW-15_038	SOU
BROW-15_039	SOU
BROW-15_040	SOU
BROW-15_041	SOU
BROW-15_042	SOU
BROW-15_043	SOU
BROW-15_044	SOU
BROW-15_045	SOU
BROW-15_047	SOU
BROW-15_048	SOU
BURG-12_001	NOR
BURG-12_002	NOR
BURG-12_003	NOR
BURG-12_004	NOR
BURG-12_005	NOR
BURG-12_006	NOR
BURG-12_007	NOR
BURG-12_008	NOR
BURG-12_009	NOR
BURG-12_010	NOR
BURG-12_011	NOR
BURG-12_012	NOR
BURG-12_013	NOR
BURG-12_014	NOR
BURG-12_015	NOR
BURG-12_016	NOR
BURG-12_017	NOR
BURG-12_018	NOR
BURG-12_019	NOR
BURG-12_020	NOR
BURG-12_021	NOR
BURG-12_022	NOR
BURG-12_023	NOR
BURG-12_025	NOR
BURG-12_026	NOR
BURG-12_028	NOR
BURG-12_029	NOR
BURG-12_030	NOR
BURG-12_031	NOR
BURG-12_032	NOR
BURG-12_033	NOR
BURG-12_034	NOR
BURG-12_035	NOR
BURG-12_036	NOR
BURG-12_037	NOR
BURG-12_038	NOR
BURG-12_039	NOR
BURG-12_041	NOR
BURG-12_042	NOR
BURG-12_043	NOR
BURG-12_044	NOR
BURG-12_045	NOR
BURG-12_046	NOR
BURG-12_047	NOR
BURG-12_048	NOR
BURG-15_001	NOR
BURG-15_002	NOR
BURG-15_006	NOR
BURG-15_008	NOR
BURG-15_010	NOR
BURG-15_011	NOR
BURG-15_012	NOR
BURG-15_025	NOR
BURG-15_026	NOR
BURG-15_027	NOR
BURG-15_028	NOR
BURG-15_030	NOR
BURG-15_032	NOR
BURG-15_033	NOR
BURG-15_034	NOR
BURG-15_035	NOR
BURG-15_036	NOR
BURG-15_037	NOR
BURG-15_038	NOR
BURG-15_039	NOR
BURG-15_040	NOR
BURG-15_042	NOR
BURG-15_043	NOR
BURG-15_045	NOR
BURG-15_048	NOR
BURG-15_049	NOR
BURG-15_050	NOR
BURG-15_051	NOR
BURG-15_052	NOR
BURG-15_053	NOR
BURG-15_054	NOR
CANS-12_001	NOR
CANS-12_002	NOR
CANS-12_003	NOR
CANS-12_004	NOR
CANS-12_005	NOR
CANS-12_006	NOR
CANS-12_007	NOR
CANS-12_008	NOR
CANS-12_009	NOR
CANS-12_010	NOR
CANS-12_011	NOR
CANS-12_012	NOR
CANS-12_013	NOR
CANS-12_014	NOR
CANS-12_015	NOR
CANS-12_016	NOR
CANS-12_017	NOR
CANS-12_018	NOR
CANS-12_019	NOR
CANS-12_020	NOR
CANS-12_021	NOR
CANS-12_022	NOR
CANS-12_023	NOR
CANS-12_024	NOR
CANS-12_025	NOR
CANS-12_026	NOR
CANS-12_027	NOR
CANS-12_028	NOR
CANS-12_029	NOR
CANS-12_030	NOR
CANS-12_031	NOR
CANS-12_032	NOR
CANS-12_033	NOR
CANS-12_034	NOR
CANS-12_035	NOR
CANS-12_036	NOR
CANS-12_037	NOR
CANS-12_038	NOR
CANS-12_039	NOR
CANS-12_040	NOR
CANS-12_041	NOR
CANS-12_042	NOR
CANS-12_043	NOR
CANS-12_044	NOR
CANS-12_045	NOR
CANS-12_046	NOR
CANS-12_047	NOR
CANS-12_048	NOR
CAPM-12_001	NOR
CAPM-12_002	NOR
CAPM-12_003	NOR
CAPM-12_004	NOR
CAPM-12_005	NOR
CAPM-12_006	NOR
CAPM-12_007	NOR
CAPM-12_008	NOR
CAPM-12_009	NOR
CAPM-12_010	NOR
CAPM-12_011	NOR
CAPM-12_012	NOR
CAPM-12_013	NOR
CAPM-12_014	NOR
CAPM-12_015	NOR
CAPM-12_016	NOR
CAPM-12_017	NOR
CAPM-12_018	NOR
CAPM-12_019	NOR
CAPM-12_020	NOR
CAPM-12_021	NOR
CAPM-12_022	NOR
CAPM-12_023	NOR
CAPM-12_025	NOR
CAPM-12_026	NOR
CAPM-12_027	NOR
CAPM-12_028	NOR
CAPM-12_029	NOR
CAPM-12_030	NOR
CAPM-12_031	NOR
CAPM-12_032	NOR
CAPM-12_033	NOR
CAPM-12_037	NOR
CAPM-12_038	NOR
CAPM-12_039	NOR
CAPM-12_040	NOR
CAPM-12_042	NOR
CAPM-12_043	NOR
CAPM-12_044	NOR
CAPM-12_045	NOR
CAPM-12_046	NOR
CAPM-12_047	NOR
CARA-12_001	NOR
CARA-12_002	NOR
CARA-12_003	NOR
CARA-12_004	NOR
CARA-12_005	NOR
CARA-12_006	NOR
CARA-12_007	NOR
CARA-12_008	NOR
CARA-12_010	NOR
CARA-12_011	NOR
CARA-12_012	NOR
CARA-12_013	NOR
CARA-12_014	NOR
CARA-12_015	NOR
CARA-12_016	NOR
CARA-12_018	NOR
CARA-12_020	NOR
CARA-12_021	NOR
CARA-12_022	NOR
CARA-12_023	NOR
CARA-12_024	NOR
CARA-12_025	NOR
CARA-12_026	NOR
CARA-12_027	NOR
CARA-12_028	NOR
CARA-12_029	NOR
CARA-12_030	NOR
CARA-12_031	NOR
CARA-12_032	NOR
CARA-12_033	NOR
CARA-12_034	NOR
CARA-12_035	NOR
CARA-12_036	NOR
CARA-12_037	NOR
CARA-12_038	NOR
CARA-12_039	NOR
CARA-12_040	NOR
CARA-12_041	NOR
CARA-12_042	NOR
CARA-12_043	NOR
CARA-12_045	NOR
CARA-12_046	NOR
CARA-12_047	NOR
CARA-12_048	NOR
CARA-15_001	NOR
CARA-15_002	NOR
CARA-15_003	NOR
CARA-15_004	NOR
CARA-15_007	NOR
CARA-15_008	NOR
CARA-15_009	NOR
CARA-15_010	NOR
CARA-15_011	NOR
CARA-15_012	NOR
CARA-15_013	NOR
CARA-15_014	NOR
CARA-15_015	NOR
CARA-15_027	NOR
CARA-15_028	NOR
CARA-15_029	NOR
CARA-15_030	NOR
CARA-15_031	NOR
CARA-15_032	NOR
CARA-15_034	NOR
CARA-15_035	NOR
CARA-15_036	NOR
CARA-15_037	NOR
CARA-15_038	NOR
CARA-15_039	NOR
CARA-15_040	NOR
CARA-15_041	NOR
CARA-15_042	NOR
CARA-15_043	NOR
CARA-15_044	NOR
CARA-15_046	NOR
CARA-15_047	NOR
CARA-15_049	NOR
CARA-15_050	NOR
CARA-15_051	NOR
CARA-15_052	NOR
CARA-15_053	NOR
CHET-12_001	NOR
CHET-12_002	NOR
CHET-12_003	NOR
CHET-12_005	NOR
CHET-12_006	NOR
CHET-12_007	NOR
CHET-12_008	NOR
CHET-12_009	NOR
CHET-12_010	NOR
CHET-12_011	NOR
CHET-12_012	NOR
CHET-12_013	NOR
CHET-12_014	NOR
CHET-12_015	NOR
CHET-12_016	NOR
CHET-12_017	NOR
CHET-12_018	NOR
CHET-12_019	NOR
CHET-12_020	NOR
CHET-12_021	NOR
CHET-12_022	NOR
CHET-12_023	NOR
CHET-12_024	NOR
CHET-12_025	NOR
CHET-12_026	NOR
CHET-12_027	NOR
CHET-12_029	NOR
CHET-12_030	NOR
CHET-12_031	NOR
CHET-12_032	NOR
CHET-12_033	NOR
CHET-12_034	NOR
CHET-12_035	NOR
CHET-12_037	NOR
CHET-12_038	NOR
CHET-12_039	NOR
CHET-12_040	NOR
CHET-12_041	NOR
CHET-12_042	NOR
CHET-12_043	NOR
CHET-12_044	NOR
CHET-12_045	NOR
COAS-15_001	SOU
COAS-15_002	SOU
COAS-15_004	SOU
COAS-15_006	SOU
COAS-15_008	SOU
COAS-15_009	SOU
COAS-15_010	SOU
COAS-15_011	SOU
COAS-15_012	SOU
COAS-15_014	SOU
COAS-15_015	SOU
COAS-15_016	SOU
COAS-15_017	SOU
COAS-15_018	SOU
COAS-15_019	SOU
COAS-15_020	SOU
COAS-15_021	SOU
COAS-15_022	SOU
COAS-15_023	SOU
COAS-15_024	SOU
COAS-15_025	SOU
COAS-15_026	SOU
COAS-15_027	SOU
COAS-15_028	SOU
COAS-15_029	SOU
COAS-15_030	SOU
COAS-15_031	SOU
COAS-15_032	SOU
COAS-15_033	SOU
COAS-15_034	SOU
COAS-15_035	SOU
COAS-15_036	SOU
COAS-15_037	SOU
COAS-15_038	SOU
COAS-15_039	SOU
COAS-15_040	SOU
COAS-15_041	SOU
COAS-15_042	SOU
COAS-15_043	SOU
COAS-15_044	SOU
COAS-15_046	SOU
COAS-15_047	SOU
COAS-15_048	SOU
CROW-16_001	SOU
CROW-16_002	SOU
CROW-16_003	SOU
CROW-16_006	SOU
CROW-16_007	SOU
CROW-16_009	SOU
CROW-16_010	SOU
CROW-16_011	SOU
CROW-16_012	SOU
CROW-16_014	SOU
CROW-16_016	SOU
CROW-16_017	SOU
CROW-16_019	SOU
CROW-16_020	SOU
CROW-16_021	SOU
CROW-16_023	SOU
CROW-16_026	SOU
CROW-16_029	SOU
CROW-16_030	SOU
CROW-16_032	SOU
CROW-16_035	SOU
CROW-16_036	SOU
CROW-16_038	SOU
CROW-16_040	SOU
CROW-16_041	SOU
CROW-16_042	SOU
CROW-16_046	SOU
CROW-16_047	SOU
CROW-16_055	SOU
CROW-16_057	SOU
DRUM-15_001	NOR
DRUM-15_002	NOR
DRUM-15_003	NOR
DRUM-15_004	NOR
DRUM-15_005	NOR
DRUM-15_006	NOR
DRUM-15_007	NOR
DRUM-15_008	NOR
DRUM-15_009	NOR
DRUM-15_010	NOR
DRUM-15_011	NOR
DRUM-15_012	NOR
DRUM-15_013	NOR
DRUM-15_014	NOR
DRUM-15_015	NOR
DRUM-15_016	NOR
DRUM-15_017	NOR
DRUM-15_018	NOR
DRUM-15_019	NOR
DRUM-15_021	NOR
DRUM-15_022	NOR
DRUM-15_024	NOR
DRUM-15_025	NOR
DRUM-15_026	NOR
DRUM-15_027	NOR
DRUM-15_029	NOR
DRUM-15_030	NOR
DRUM-15_031	NOR
DRUM-15_032	NOR
DRUM-15_033	NOR
DRUM-15_034	NOR
DRUM-15_035	NOR
DRUM-15_036	NOR
DRUM-15_037	NOR
DRUM-15_038	NOR
DRUM-15_039	NOR
DRUM-15_040	NOR
DRUM-15_041	NOR
DRUM-15_042	NOR
DRUM-15_044	NOR
DRUM-15_045	NOR
DRUM-15_047	NOR
DRUM-15_048	NOR
DRUM-15_050	NOR
DRUM-15_051	NOR
DRUM-15_052	NOR
DRUM-15_053	NOR
ECUM-17_001	NOR
ECUM-17_002	NOR
ECUM-17_004	NOR
ECUM-17_005	NOR
ECUM-17_006	NOR
ECUM-17_007	NOR
ECUM-17_008	NOR
ECUM-17_009	NOR
ECUM-17_010	NOR
ECUM-17_011	NOR
ECUM-17_012	NOR
ECUM-17_013	NOR
ECUM-17_014	NOR
ECUM-17_015	NOR
ECUM-17_016	NOR
ECUM-17_017	NOR
ECUM-17_018	NOR
ECUM-17_019	NOR
ECUM-17_020	NOR
ECUM-17_021	NOR
ECUM-17_023	NOR
ECUM-17_024	NOR
ECUM-17_025	NOR
ECUM-17_026	NOR
ECUM-17_027	NOR
ECUM-17_028	NOR
ECUM-17_031	NOR
ECUM-17_033	NOR
ECUM-17_034	NOR
ECUM-17_035	NOR
ECUM-17_036	NOR
ECUM-17_037	NOR
ECUM-17_038	NOR
ECUM-17_039	NOR
ECUM-17_040	NOR
ECUM-17_041	NOR
ECUM-17_042	NOR
ECUM-17_043	NOR
ECUM-17_044	NOR
ECUM-17_045	NOR
ECUM-17_046	NOR
ECUM-17_047	NOR
ECUM-17_048	NOR
ECUM-17_049	NOR
ECUM-17_051	NOR
ECUM-17_052	NOR
ETDN-12_001	NOR
ETDN-12_002	NOR
ETDN-12_003	NOR
ETDN-12_004	NOR
ETDN-12_005	NOR
ETDN-12_006	NOR
ETDN-12_007	NOR
ETDN-12_008	NOR
ETDN-12_010	NOR
ETDN-12_011	NOR
ETDN-12_012	NOR
ETDN-12_014	NOR
ETDN-12_015	NOR
ETDN-12_016	NOR
ETDN-12_017	NOR
ETDN-12_018	NOR
ETDN-12_019	NOR
ETDN-12_020	NOR
ETDN-12_021	NOR
ETDN-12_022	NOR
ETDN-12_023	NOR
ETDN-12_024	NOR
ETDN-12_025	NOR
ETDN-12_026	NOR
ETDN-12_027	NOR
ETDN-12_028	NOR
ETDN-12_029	NOR
ETDN-12_030	NOR
ETDN-12_031	NOR
ETDN-12_032	NOR
ETDN-12_033	NOR
ETDN-12_034	NOR
ETDN-12_035	NOR
ETDN-12_036	NOR
ETDN-12_038	NOR
ETDN-12_040	NOR
ETDN-12_041	NOR
ETDN-12_042	NOR
ETDN-12_043	NOR
ETDN-12_044	NOR
ETDN-12_045	NOR
ETDN-12_047	NOR
ETDN-12_048	NOR
ETDN-15_001	NOR
ETDN-15_002	NOR
ETDN-15_003	NOR
ETDN-15_004	NOR
ETDN-15_005	NOR
ETDN-15_006	NOR
ETDN-15_007	NOR
ETDN-15_008	NOR
ETDN-15_009	NOR
ETDN-15_011	NOR
ETDN-15_012	NOR
ETDN-15_013	NOR
ETDN-15_014	NOR
ETDN-15_015	NOR
ETDN-15_016	NOR
ETDN-15_017	NOR
ETDN-15_018	NOR
ETDN-15_021	NOR
ETDN-15_022	NOR
ETDN-15_023	NOR
ETDN-15_024	NOR
ETDN-15_025	NOR
ETDN-15_026	NOR
ETDN-15_027	NOR
ETDN-15_028	NOR
ETDN-15_029	NOR
ETDN-15_030	NOR
