INDIVIDUALS	STRATA
SOUR-15_045	NOR
T4P4-16_021	NOR
POIN-15_018	NOR
ARIS-15_010	NOR
SIDN-12_020	NOR
ARIS-15_041	NOR
T3P1-16_039	NOR
NEGU-15_033	NOR
FORT-15_016	NOR
BURG-12_037	NOR
PORT-12_023	NOR
CANS-12_040	NOR
FOUR-15_032	NOR
SHED-15_051	NOR
SOUR-15_033	NOR
FORT-16_019	NOR
SIDN-12_015	NOR
T4P1-16_011	NOR
ROCK-16_042	NOR
ANTI-12_004	NOR
FORT-15_018	NOR
ANTI-12_038	NOR
ROCK-16_025	NOR
BIGB-15_015	NOR
T4P1-16_041	NOR
POBA-16_032	NOR
BURG-15_001	NOR
ETDN-15_006	NOR
T3P1-16_003	NOR
TONE-12_025	NOR
TIGN-15_012	NOR
STGB-12_031	NOR
T3P2-16_032	NOR
T1P4-16_003	NOR
T4P4-16_039	NOR
ANTI-12_025	NOR
T4P4-16_028	NOR
DRUM-15_003	NOR
T2P1-16_037	NOR
ARIS-15_024	NOR
T1P3-16_026	NOR
SIDN-12_010	NOR
CARA-15_031	NOR
ANTI-15_001	NOR
CHET-12_023	NOR
T5P3-16_021	NOR
T1P2-16_006	NOR
FORT-15_022	NOR
SOUR-15_009	NOR
TRIT-12_041	NOR
T1P3-16_031	NOR
SHED-15_044	NOR
GASP-12_001	NOR
ETDN-15_011	NOR
T4P1-16_018	NOR
DRUM-15_014	NOR
T4P3-16_013	NOR
ROCK-16_016	NOR
ANTI-12_045	NOR
ETDN-15_009	NOR
BIGB-12_039	NOR
T2P3-16_044	NOR
BURG-15_036	NOR
BONA-15_034	NOR
CANS-12_032	NOR
SIDN-12_011	NOR
T3P3-16_047	NOR
T4P4-16_042	NOR
BURG-15_030	NOR
T5P2-16_050	NOR
ETDN-15_029	NOR
T4P2-16_050	NOR
BIGB-15_023	NOR
STGB-12_023	NOR
T2P3-16_005	NOR
VALC-12_046	NOR
ROCK-16_029	NOR
CARA-15_004	NOR
T3P1-16_051	NOR
T4P3-16_049	NOR
SEPX-15_031	NOR
BURG-12_048	NOR
SOUR-15_051	NOR
T5P1-16_031	NOR
NEGU-15_028	NOR
CANS-12_034	NOR
TRIT-12_043	NOR
POIN-15_019	NOR
TRIT-12_018	NOR
PORT-12_022	NOR
ROCK-16_033	NOR
SOUR-15_017	NOR
NEGU-15_044	NOR
FALS-15_031	NOR
ANTI-15_035	NOR
TRIT-12_016	NOR
T4P2-16_003	NOR
GASP-12_045	NOR
ETDN-12_001	NOR
T2P1-16_016	NOR
FORT-16_011	NOR
SIDN-12_014	NOR
NEGU-15_037	NOR
BURG-15_002	NOR
TIGN-15_021	NOR
FORT-15_026	NOR
ROCK-16_005	NOR
T3P2-16_057	NOR
T2P1-16_003	NOR
T2P3-16_019	NOR
T2P1-16_006	NOR
DRUM-15_052	NOR
NEGU-15_002	NOR
CAPM-12_040	NOR
STGM-15_022	NOR
T5P1-16_041	NOR
CANS-12_048	NOR
FOUR-15_020	NOR
CARA-12_024	NOR
TONE-12_017	NOR
BIGB-15_003	NOR
T5P3-16_009	NOR
T1P4-16_008	NOR
ARIS-15_049	NOR
T3P2-16_042	NOR
BURG-15_038	NOR
FORT-16_027	NOR
BURG-12_044	NOR
T1P3-16_044	NOR
CARA-15_014	NOR
T1P4-16_002	NOR
PORT-12_024	NOR
PORT-12_037	NOR
VALC-12_032	NOR
ROCK-16_043	NOR
BURG-15_033	NOR
FORT-16_024	NOR
TRIT-12_021	NOR
T3P3-16_009	NOR
BURG-12_001	NOR
T2P3-16_017	NOR
T1P3-16_055	NOR
POIN-15_049	NOR
TONE-12_022	NOR
T5P1-16_006	NOR
T4P1-16_051	NOR
T3P1-16_034	NOR
SIDN-12_002	NOR
ETDN-12_036	NOR
VALC-12_044	NOR
T4P1-16_055	NOR
T2P1-16_008	NOR
T5P4-16_019	NOR
BIGB-15_033	NOR
BURG-12_020	NOR
T2P2-16_033	NOR
T3P2-16_027	NOR
T1P2-16_045	NOR
SEPX-15_010	NOR
ECUM-17_051	NOR
T4P3-16_020	NOR
T3P1-16_048	NOR
T5P1-16_038	NOR
T5P3-16_023	NOR
T1P3-16_024	NOR
T5P3-16_042	NOR
T5P2-16_007	NOR
PORT-12_025	NOR
T3P4-16_010	NOR
T4P2-16_053	NOR
SIDN-12_004	NOR
T1P3-16_041	NOR
T3P4-16_048	NOR
T2P2-16_030	NOR
ECUM-17_039	NOR
CANS-12_042	NOR
T2P1-16_038	NOR
T1P4-16_021	NOR
ECUM-17_035	NOR
GASP-12_037	NOR
T3P2-16_036	NOR
T5P2-16_009	NOR
FOUR-15_012	NOR
TIGN-15_029	NOR
T3P1-16_001	NOR
T3P4-16_005	NOR
FORT-16_012	NOR
T4P4-16_056	NOR
T1P4-16_020	NOR
STGB-12_029	NOR
T1P2-16_056	NOR
CARA-15_030	NOR
ETDN-15_031	NOR
TIGN-15_020	NOR
TRIT-12_046	NOR
SOUR-15_037	NOR
T2P2-16_027	NOR
T5P4-16_041	NOR
ARIS-15_048	NOR
T2P1-16_002	NOR
T2P3-16_054	NOR
T5P3-16_055	NOR
T1P1-16_049	NOR
T4P1-16_023	NOR
T5P2-16_020	NOR
T3P2-16_045	NOR
T1P2-16_054	NOR
T2P4-16_010	NOR
BONA-15_020	NOR
T1P2-16_041	NOR
T5P1-16_040	NOR
T4P3-16_024	NOR
FORT-15_048	NOR
T2P4-16_051	NOR
T2P1-16_005	NOR
T5P2-16_025	NOR
T2P4-16_057	NOR
T3P1-16_010	NOR
SHED-15_038	NOR
T2P4-16_008	NOR
T4P4-16_043	NOR
CHET-12_026	NOR
STGM-15_038	NOR
CARA-12_045	NOR
T5P1-16_042	NOR
ARIS-15_044	NOR
VALC-12_023	NOR
